epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,959.481,1.02365,0.59113,1.07659,0.95932,0.73724,0.89893,0.63558,1.17527,0.75301,1.08756,0.0011684,0.0011684,0.0011684
44,981.13,1.0455,0.60638,1.09739,0.92901,0.875,0.92642,0.64599,1.13289,0.6054,1.09096,0.0011486,0.0011486,0.0011486
45,1002.77,1.02549,0.5821,1.08283,0.8968,0.875,0.93028,0.64581,1.14557,0.63511,1.06301,0.0011288,0.0011288,0.0011288
46,1024.47,1.00687,0.57405,1.07629,0.89963,0.8404,0.89221,0.60793,1.18703,0.79629,1.10093,0.001109,0.001109,0.001109
47,1045.96,1.0159,0.58491,1.06422,0.9488,0.84375,0.92229,0.63646,1.10331,0.70917,1.0674,0.0010892,0.0010892,0.0010892
48,1067.57,0.99449,0.56445,1.06024,0.93813,0.90625,0.96399,0.67369,1.12269,0.55294,1.06612,0.0010694,0.0010694,0.0010694
49,1089.15,1.00111,0.57472,1.05736,1,0.87468,0.95853,0.66705,1.1455,0.57538,1.06273,0.0010496,0.0010496,0.0010496
50,1110.81,1.02459,0.57319,1.06354,0.87948,0.91236,0.93474,0.63698,1.22622,0.61882,1.13316,0.0010298,0.0010298,0.0010298
51,1132.4,1.00735,0.5603,1.07452,0.96403,0.84375,0.9215,0.65578,1.104,0.62506,1.04504,0.00101,0.00101,0.00101
52,1154.03,1.01574,0.55296,1.06388,0.83515,0.95009,0.94181,0.66664,1.10509,0.59935,1.06662,0.0009902,0.0009902,0.0009902
53,1175.77,0.98832,0.53701,1.06224,0.85544,0.96875,0.95658,0.6687,1.11483,0.58484,1.04771,0.0009704,0.0009704,0.0009704
54,1197.27,0.98608,0.54726,1.05172,0.99972,0.96875,0.96752,0.68036,1.13382,0.54732,1.06167,0.0009506,0.0009506,0.0009506
55,1218.82,0.98599,0.53381,1.0593,0.96418,0.84121,0.95052,0.66605,1.14958,0.60387,1.06998,0.0009308,0.0009308,0.0009308
56,1240.39,0.97157,0.53283,1.04742,0.93253,0.9375,0.94656,0.68677,1.10458,0.61112,1.04898,0.000911,0.000911,0.000911
57,1261.93,0.9609,0.53616,1.0414,0.90996,0.78125,0.9043,0.63929,1.1246,0.6571,1.04647,0.0008912,0.0008912,0.0008912
