                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     15,                 1.1746,                0.78415,                 1.1331,                0.91184,                0.92821,                0.97008,                0.77291,                 0.7669,                0.66988,                 1.1989,              0.0017228,              0.0017228,              0.0017228
                     16,                  1.196,                0.79701,                 1.1412,                 0.9605,                0.96154,                  0.979,                0.81784,                0.66752,                0.57553,                 1.0909,               0.001703,               0.001703,               0.001703
                     17,                 1.1727,                0.77627,                 1.1316,                0.94352,                0.92308,                0.97005,                0.78466,                0.76482,                0.60776,                 1.1596,              0.0016832,              0.0016832,              0.0016832
                     18,                 1.1464,                0.76385,                 1.1139,                0.95312,                0.96154,                0.98254,                0.77361,                0.80731,                0.66833,                  1.191,              0.0016634,              0.0016634,              0.0016634
                     19,                 1.1391,                 0.7373,                 1.1165,                0.94558,                0.87179,                0.97317,                0.78014,                 0.7599,                0.59482,                 1.1781,              0.0016436,              0.0016436,              0.0016436
                     20,                 1.1136,                0.72797,                 1.1067,                0.93098,                0.94872,                0.97433,                0.81609,                0.65331,                0.56155,                 1.0777,              0.0016238,              0.0016238,              0.0016238
                     21,                 1.1401,                 0.7192,                 1.1072,                0.92668,                0.92308,                0.95972,                0.79572,                0.75924,                0.66151,                 1.1402,               0.001604,               0.001604,               0.001604
                     22,                 1.1311,                0.73457,                 1.1203,                0.96906,                0.94872,                0.98466,                0.84255,                 0.5856,                0.53753,                 1.0263,              0.0015842,              0.0015842,              0.0015842
                     23,                 1.1229,                0.71191,                 1.1128,                 0.9733,                0.97436,                0.97999,                0.81743,                0.70675,                0.52924,                 1.0992,              0.0015644,              0.0015644,              0.0015644
                     24,                 1.0966,                0.70422,                 1.1038,                      1,                0.94723,                0.98236,                0.85679,                0.55957,                0.48092,                 1.0355,              0.0015446,              0.0015446,              0.0015446
                     25,                 1.0901,                0.69224,                 1.0939,                0.94575,                0.97436,                0.98136,                0.85168,                0.61035,                0.48811,                  1.068,              0.0015248,              0.0015248,              0.0015248
                     26,                 1.0856,                 0.6634,                 1.0873,                0.90711,                0.89744,                0.96036,                0.83402,                0.60023,                0.63807,                 1.0516,               0.001505,               0.001505,               0.001505
                     27,                   1.06,                0.65089,                 1.0838,                0.94236,                0.97436,                0.97315,                 0.8369,                0.59889,                0.49922,                 1.0429,              0.0014852,              0.0014852,              0.0014852
                     28,                 1.0557,                0.65455,                 1.0749,                0.96234,                0.98284,                0.99119,                0.86541,                0.56711,                0.47721,                 1.0124,              0.0014654,              0.0014654,              0.0014654
                     29,                 1.0489,                0.64043,                 1.0696,                0.96843,                0.98718,                0.99002,                 0.8641,                0.59843,                0.48919,                   1.04,              0.0014456,              0.0014456,              0.0014456
                     30,                 1.0684,                0.64887,                  1.085,                0.96646,                0.96154,                0.98161,                0.81721,                0.65326,                0.49742,                 1.0522,              0.0014258,              0.0014258,              0.0014258
                     31,                 1.0578,                0.63471,                 1.0756,                      1,                0.98368,                0.99196,                0.87642,                0.54559,                0.44612,                 1.0121,               0.001406,               0.001406,               0.001406
                     32,                 1.0601,                0.61344,                 1.0767,                 0.9554,                0.98718,                0.98779,                0.85149,                0.57498,                  0.457,                 1.0044,              0.0013862,              0.0013862,              0.0013862
                     33,                 1.0647,                0.62055,                  1.076,                 0.9549,                0.98718,                 0.9827,                0.85173,                0.60388,                0.43988,                 1.0245,              0.0013664,              0.0013664,              0.0013664
                     34,                 1.0452,                0.60994,                 1.0654,                0.86293,                 0.9686,                0.97449,                0.83187,                0.58503,                  0.498,                 1.0277,              0.0013466,              0.0013466,              0.0013466
                     35,                 1.0279,                0.60795,                 1.0693,                0.93806,                0.98718,                 0.9872,                0.85795,                0.59562,                0.43008,                 1.0312,              0.0013268,              0.0013268,              0.0013268
                     36,                 1.0186,                0.59325,                   1.07,                0.95583,                0.97436,                0.98717,                0.87171,                0.53738,                0.43219,                 0.9917,               0.001307,               0.001307,               0.001307
                     37,                 1.0211,                0.59601,                 1.0573,                 0.9796,                0.98718,                0.99107,                0.88264,                0.51784,                0.41166,                 0.9863,              0.0012872,              0.0012872,              0.0012872
                     38,                  1.001,                 0.5731,                 1.0449,                0.97452,                0.98086,                0.99122,                0.86932,                0.52761,                0.41318,                0.99361,              0.0012674,              0.0012674,              0.0012674
                     39,                 1.0148,                 0.5934,                 1.0656,                 0.9871,                0.98113,                0.99427,                 0.8726,                0.55252,                0.41135,                0.99231,              0.0012476,              0.0012476,              0.0012476
                     40,                 1.0052,                 0.5745,                 1.0543,                0.95014,                0.97725,                0.98756,                0.87983,                0.50924,                0.42379,                0.99084,              0.0012278,              0.0012278,              0.0012278
                     41,                0.98671,                 0.5751,                 1.0537,                0.93353,                0.96154,                0.98766,                0.87902,                0.52508,                0.41927,                0.97775,               0.001208,               0.001208,               0.001208
                     42,                 1.0041,                0.56602,                 1.0523,                0.91758,                0.99915,                0.98745,                0.86895,                0.55041,                0.40925,                0.98604,              0.0011882,              0.0011882,              0.0011882
                     43,                0.96849,                 0.5526,                 1.0475,                0.93972,                0.99938,                0.99196,                0.86398,                0.55547,                0.38336,                0.99242,              0.0011684,              0.0011684,              0.0011684
                     44,                0.95931,                0.54979,                 1.0407,                0.96803,                      1,                0.99295,                0.89334,                0.47172,                0.35007,                0.94803,              0.0011486,              0.0011486,              0.0011486
                     45,                0.96073,                0.53598,                 1.0288,                0.97873,                0.97436,                0.99295,                 0.8695,                0.57562,                0.39747,                0.99666,              0.0011288,              0.0011288,              0.0011288
                     46,                0.94197,                0.52555,                 1.0293,                0.96248,                0.98656,                0.99349,                0.88786,                0.52832,                0.39364,                0.98534,               0.001109,               0.001109,               0.001109
                     47,                0.96441,                0.54026,                 1.0313,                      1,                0.99885,                  0.995,                0.89815,                 0.4947,                0.35243,                0.96404,              0.0010892,              0.0010892,              0.0010892
                     48,                0.98617,                0.53226,                 1.0443,                0.96019,                      1,                0.99256,                0.89354,                0.50137,                0.37413,                0.96664,              0.0010694,              0.0010694,              0.0010694
                     49,                0.95861,                0.51462,                 1.0268,                0.95088,                0.99284,                0.99114,                0.87681,                 0.5138,                0.36743,                0.97302,              0.0010496,              0.0010496,              0.0010496
                     50,                0.94956,                0.52693,                 1.0252,                0.97371,                      1,                0.99411,                0.89074,                0.47406,                 0.3317,                0.94671,              0.0010298,              0.0010298,              0.0010298
                     51,                0.91502,                0.50135,                 1.0102,                0.98196,                      1,                0.99475,                0.88896,                0.50095,                0.35193,                0.95789,                0.00101,                0.00101,                0.00101
                     52,                0.92278,                0.49986,                 1.0172,                 0.9873,                0.99702,                0.99475,                0.90531,                0.46432,                0.34092,                0.94135,              0.0009902,              0.0009902,              0.0009902
                     53,                0.91769,                0.49878,                 1.0112,                0.98717,                 0.9863,                0.99462,                0.87618,                0.53086,                0.34202,                0.96136,              0.0009704,              0.0009704,              0.0009704
                     54,                0.92882,                0.49933,                 1.0121,                0.97474,                0.98955,                0.99475,                0.89944,                 0.4932,                 0.3344,                0.95825,              0.0009506,              0.0009506,              0.0009506
                     55,                0.89089,                0.48463,                0.99615,                0.96009,                      1,                0.98939,                0.91667,                0.46236,                0.33728,                0.93702,              0.0009308,              0.0009308,              0.0009308
                     56,                0.91372,                 0.4871,                 0.9986,                0.97249,                      1,                0.99333,                0.89492,                0.50764,                0.33293,                  0.952,               0.000911,               0.000911,               0.000911
                     57,                0.89449,                0.48231,                 1.0086,                0.99771,                      1,                  0.995,                0.90293,                0.46951,                0.30257,                 0.9429,              0.0008912,              0.0008912,              0.0008912
                     58,                0.86784,                0.47804,                0.99674,                 0.9854,                      1,                0.99323,                0.87958,                0.50793,                0.34256,                0.96747,              0.0008714,              0.0008714,              0.0008714
                     59,                0.87098,                0.47515,                 1.0038,                0.95191,                      1,                0.99311,                0.88245,                 0.5518,                0.39677,                  0.972,              0.0008516,              0.0008516,              0.0008516
                     60,                0.89237,                0.47857,                 1.0005,                0.98043,                      1,                0.99424,                  0.902,                0.46015,                0.33534,                0.93654,              0.0008318,              0.0008318,              0.0008318
                     61,                0.88913,                0.47099,                 1.0031,                0.98806,                      1,                  0.995,                0.90625,                0.47108,                0.30979,                0.94142,               0.000812,               0.000812,               0.000812
                     62,                0.86527,                0.45793,                0.99823,                0.97984,                      1,                0.99348,                0.91447,                0.43786,                0.30983,                0.91949,              0.0007922,              0.0007922,              0.0007922
                     63,                 0.8605,                 0.4538,                0.98232,                0.99842,                      1,                  0.995,                0.93532,                 0.3981,                0.29187,                0.90371,              0.0007724,              0.0007724,              0.0007724
                     64,                0.86905,                0.46312,                0.98653,                0.99792,                      1,                  0.995,                0.91343,                 0.4268,                0.29047,                0.91713,              0.0007526,              0.0007526,              0.0007526
                     65,                0.85254,                0.46312,                0.98689,                0.98418,                      1,                0.99475,                0.91244,                 0.4365,                0.29326,                 0.9337,              0.0007328,              0.0007328,              0.0007328
                     66,                0.86516,                0.44876,                0.99153,                0.99841,                      1,                  0.995,                0.91087,                 0.4717,                0.29758,                0.95177,               0.000713,               0.000713,               0.000713
                     67,                0.84365,                0.45171,                0.97926,                0.98499,                      1,                0.99487,                0.91434,                0.45309,                0.29693,                0.93326,              0.0006932,              0.0006932,              0.0006932
                     68,                0.85068,                0.44572,                0.97826,                0.99878,                      1,                  0.995,                0.93395,                0.41497,                0.27499,                0.90668,              0.0006734,              0.0006734,              0.0006734
                     69,                0.81692,                0.43291,                 0.9695,                0.98601,                      1,                0.99487,                0.91206,                0.43904,                0.26949,                0.91677,              0.0006536,              0.0006536,              0.0006536
                     70,                0.81069,                0.43313,                0.96615,                0.99891,                      1,                  0.995,                 0.9197,                0.44768,                0.29082,                 0.9273,              0.0006338,              0.0006338,              0.0006338
                     71,                0.81443,                 0.4298,                  0.976,                0.99704,                      1,                  0.995,                0.92742,                0.40762,                0.26961,                  0.902,               0.000614,               0.000614,               0.000614
                     72,                0.81845,                0.42573,                0.96741,                0.99899,                      1,                  0.995,                 0.9153,                0.44719,                0.29561,                 0.9193,              0.0005942,              0.0005942,              0.0005942
                     73,                0.83553,                0.43564,                0.97454,                      1,                0.99463,                  0.995,                0.93515,                0.40007,                0.26445,                0.90392,              0.0005744,              0.0005744,              0.0005744
                     74,                0.81318,                0.42698,                 0.9666,                0.99878,                      1,                  0.995,                0.93367,                0.39937,                0.26593,                0.89893,              0.0005546,              0.0005546,              0.0005546
                     75,                0.79374,                0.42125,                0.96335,                0.98819,                      1,                  0.995,                0.91067,                0.46008,                0.28271,                0.93138,              0.0005348,              0.0005348,              0.0005348
                     76,                0.80826,                0.42473,                0.97082,                0.99866,                      1,                  0.995,                0.91017,                  0.465,                0.27651,                 0.9268,               0.000515,               0.000515,               0.000515
                     77,                0.79525,                0.41896,                 0.9635,                0.99904,                      1,                  0.995,                0.94494,                0.36193,                0.25084,                0.88145,              0.0004952,              0.0004952,              0.0004952
                     78,                0.80134,                0.41666,                0.96724,                0.99907,                      1,                  0.995,                0.90853,                 0.4548,                0.26555,                0.92537,              0.0004754,              0.0004754,              0.0004754
                     79,                0.77785,                0.40513,                0.96317,                0.99915,                      1,                  0.995,                0.92912,                0.41866,                0.26694,                0.90995,              0.0004556,              0.0004556,              0.0004556
                     80,                0.79754,                0.41152,                0.96378,                0.99853,                      1,                  0.995,                0.92937,                0.41332,                0.26414,                 0.9045,              0.0004358,              0.0004358,              0.0004358
                     81,                0.75652,                0.39396,                0.95382,                0.99804,                      1,                  0.995,                0.93254,                0.40618,                0.25047,                0.89583,               0.000416,               0.000416,               0.000416
                     82,                0.76422,                0.40306,                0.95379,                0.99883,                      1,                  0.995,                0.92669,                0.41148,                0.26872,                0.89551,              0.0003962,              0.0003962,              0.0003962
                     83,                0.73208,                0.38814,                0.94747,                0.99865,                      1,                  0.995,                0.93188,                0.40311,                0.25639,                0.89673,              0.0003764,              0.0003764,              0.0003764
                     84,                0.73743,                0.39208,                0.94496,                0.99908,                      1,                  0.995,                0.93022,                0.40295,                0.24528,                 0.9017,              0.0003566,              0.0003566,              0.0003566
                     85,                0.74493,                 0.3933,                0.95087,                0.99897,                      1,                  0.995,                0.93947,                0.38037,                0.24248,                 0.8864,              0.0003368,              0.0003368,              0.0003368
                     86,                0.74741,                0.38948,                0.95122,                0.99871,                      1,                  0.995,                0.94728,                0.35391,                 0.2286,                 0.8673,               0.000317,               0.000317,               0.000317
                     87,                 0.7314,                0.38694,                0.93941,                0.99907,                      1,                  0.995,                0.94125,                0.36247,                0.21789,                0.87869,              0.0002972,              0.0002972,              0.0002972
                     88,                0.72013,                0.37911,                 0.9402,                0.99899,                      1,                  0.995,                 0.9493,                  0.364,                0.23077,                0.87945,              0.0002774,              0.0002774,              0.0002774
                     89,                0.72292,                0.37331,                0.93008,                0.99916,                      1,                  0.995,                0.94508,                0.36699,                0.23791,                0.87694,              0.0002576,              0.0002576,              0.0002576
                     90,                0.71661,                0.37039,                0.93409,                0.99911,                      1,                  0.995,                0.95639,                0.35575,                0.23401,                0.86759,              0.0002378,              0.0002378,              0.0002378
                     91,                0.75775,                0.36064,                0.94437,                0.99887,                      1,                  0.995,                0.94272,                0.37799,                0.24413,                0.88318,               0.000218,               0.000218,               0.000218
                     92,                0.75089,                0.35413,                0.93286,                0.99892,                      1,                  0.995,                0.94058,                0.37084,                0.22995,                0.88177,              0.0001982,              0.0001982,              0.0001982
                     93,                0.73085,                0.34769,                0.93436,                0.99872,                      1,                  0.995,                0.95069,                0.35942,                0.22191,                0.87367,              0.0001784,              0.0001784,              0.0001784
                     94,                0.73959,                0.34732,                0.93315,                0.99918,                      1,                  0.995,                0.94138,                0.36022,                0.22448,                0.87142,              0.0001586,              0.0001586,              0.0001586
                     95,                0.71136,                0.33294,                0.91585,                0.99849,                      1,                  0.995,                0.95352,                0.34468,                0.21883,                0.86272,              0.0001388,              0.0001388,              0.0001388
                     96,                 0.7152,                0.33622,                0.92239,                0.99913,                      1,                  0.995,                0.94969,                0.34785,                0.21359,                0.86133,               0.000119,               0.000119,               0.000119
                     97,                0.70696,                 0.3323,                0.91539,                0.99913,                      1,                  0.995,                0.95367,                0.35106,                0.21452,                0.86598,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                 0.7026,                0.32875,                0.91363,                0.99923,                      1,                  0.995,                0.94826,                0.35911,                0.21345,                0.87218,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.68825,                0.32732,                0.90697,                0.99921,                      1,                  0.995,                0.95115,                0.34061,                0.20894,                0.86066,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                0.69119,                0.32432,                0.91469,                0.99927,                      1,                  0.995,                0.95339,                 0.3405,                 0.2091,                0.86198,               3.98e-05,               3.98e-05,               3.98e-05
