                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3629,                 1.6436,                 1.2525,                0.01836,                0.67949,                 0.0236,                0.01491,                 1.6544,                    inf,                 8.0612,             0.00066013,             0.00066013,             0.00066013
                      2,                 1.5096,                 1.3443,                 1.3521,                0.01963,                0.46154,                0.01771,                0.00664,                 2.6078,                    inf,                 12.075,              0.0013137,              0.0013137,              0.0013137
                      3,                 1.5033,                 1.2786,                 1.3489,                0.68518,                0.64103,                0.69788,                0.44943,                 1.2947,                 2.8348,                 2.1199,               0.001954,               0.001954,               0.001954
                      4,                 1.4757,                 1.2042,                 1.3106,                0.77566,                0.73077,                0.81741,                0.59189,                 1.0553,                 1.8391,                 1.5319,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.3897,                 1.1305,                 1.2894,                0.65711,                0.68796,                0.69727,                0.52189,                  1.205,                 1.6199,                 1.5749,              0.0019208,              0.0019208,              0.0019208
                      6,                  1.357,                  1.026,                 1.2415,                0.66341,                0.78335,                0.79163,                 0.5768,                 1.0166,                 1.5623,                 1.4466,               0.001901,               0.001901,               0.001901
                      7,                   1.34,                 1.0547,                 1.2281,                0.66413,                0.48718,                0.56197,                0.34496,                 1.6372,                  1.985,                 2.1273,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.3065,                  0.958,                  1.204,                0.90637,                0.86882,                0.93279,                0.73723,                0.89378,                0.78137,                 1.2974,              0.0018614,              0.0018614,              0.0018614
                      9,                  1.287,                0.91993,                 1.1926,                0.89969,                0.80498,                0.90503,                0.67147,                 1.0096,                0.92584,                  1.389,              0.0018416,              0.0018416,              0.0018416
                     10,                 1.2716,                0.89375,                 1.1848,                0.88623,                0.89887,                0.94809,                0.73618,                0.81098,                0.84964,                 1.2401,              0.0018218,              0.0018218,              0.0018218
                     11,                 1.2603,                0.91419,                 1.1735,                0.91274,                0.89744,                0.95451,                 0.7741,                0.74214,                0.67465,                 1.1648,               0.001802,               0.001802,               0.001802
                     12,                 1.2176,                0.86407,                 1.1508,                0.90473,                0.85231,                0.92329,                 0.7447,                0.74431,                0.86592,                 1.1945,              0.0017822,              0.0017822,              0.0017822
                     13,                 1.2241,                0.85335,                  1.159,                 0.9295,                0.89744,                 0.9611,                0.76629,                0.77822,                 0.7183,                  1.175,              0.0017624,              0.0017624,              0.0017624
                     14,                 1.2077,                0.82178,                 1.1495,                0.93273,                0.94872,                0.96869,                0.82031,                 0.6864,                0.65559,                 1.1134,              0.0017426,              0.0017426,              0.0017426
